California County,census_tract,hispanic,white,african_american,native_american,asian_american,other,unemployment,poverty,ces_pollution_score,ozone,pesticides,tox_release,asthma,cardiovascular_disease,low_birth_weight
Los Angeles,6037460302.0,42.0,16.8,33.8,0.2,3.2,4.0,12.0,27.1,23.79,0.051,0.64,1752.1972690000002,43.13,6.46,5.74
San Francisco,6075012201.0,27.9,36.5,5.4,0.6,25.5,4.1,6.5,44.3,23.78,0.03,0.0,230.6805069,50.2,4.42,6.45
Los Angeles,6037275101.0,28.1,41.6,7.3,0.2,18.2,4.6,8.4,16.7,23.78,0.046,0.0,1909.8256390000001,42.51,8.01,4.05
San Diego,6073013000.0,68.2,19.6,3.8,0.7,5.7,1.9,17.4,44.7,23.78,0.04,0.0,805.7031245000003,43.09,5.96,3.52
Orange ,6059062627.0,8.2,45.3,1.4,0.1,40.2,4.8,11.4,55.1,23.78,0.046,0.0,13426.83542,20.11,5.39,4.46
Los Angeles,6037461501.0,52.1,23.8,14.6,0.2,6.2,3.1,11.6,36.5,23.78,0.051,0.0,2189.787878,40.74,6.46,5.05
Los Angeles,6037278001.0,25.5,49.3,8.5,0.1,12.4,4.3,6.0,34.5,23.77,0.046,0.0,2404.179948,39.1,8.64,3.09
San Diego,6073010200.0,33.7,52.6,4.6,0.6,5.0,3.5,10.1,27.9,23.76,0.038,0.07,475.50834919999994,75.38,7.59,3.89
Los Angeles,6037405900.0,57.3,27.5,4.1,0.2,9.1,1.8,15.9,39.4,23.76,0.055,0.0,5329.304668,43.69,7.96,4.02
Riverside ,6065042711.0,13.3,76.0,6.2,0.5,2.2,1.7,27.9,34.7,23.76,0.062,0.0,296.5062263000001,35.34,10.52,1.92
Orange ,6059099603.0,15.8,62.9,0.9,0.2,16.2,3.9,9.1,19.2,23.74,0.044000000000000004,20.85,12158.61642,27.9,6.63,5.12
Sonoma ,6097151201.0,19.6,71.9,1.2,0.8,2.8,3.7,10.3,35.7,23.74,0.03,30.08,255.74167369999998,35.31,5.42,3.46
Riverside ,6065044602.0,23.8,66.4,2.8,0.8,4.0,2.2,8.5,43.1,23.74,0.068,0.0,119.2049952,55.82,9.37,9.42
Santa Clara,6085503336.0,36.9,7.2,2.5,0.6,51.0,1.8,7.5,29.0,23.73,0.038,0.0,131.169939,40.54,8.72,8.05
Orange ,6059075401.0,53.5,39.0,1.2,0.5,4.6,1.3,9.0,30.5,23.73,0.046,0.0,41687.38059,36.18,5.52,4.18
Glenn ,6021010300.0,17.6,70.8,1.3,6.9,0.8,2.7,13.9,39.8,23.73,0.046,185.61,58.31843964,42.53,8.01,2.63
Los Angeles,6037700200.0,10.5,77.4,3.3,0.2,5.0,3.6,7.2,29.3,23.73,0.05,0.0,1685.932609,28.38,9.33,3.57
Contra Costa,6013303102.0,34.2,41.1,7.5,0.3,11.8,5.2,5.3,25.5,23.72,0.044000000000000004,2.89,171.43516519999997,59.11,11.34,4.48
Los Angeles,6037113213.0,24.0,47.3,4.3,0.3,20.7,3.4,6.9,20.5,23.72,0.057,0.0,376.6939895,46.83,8.46,5.23
Orange ,6059063603.0,15.0,76.3,1.1,0.2,4.6,2.7,6.3,19.7,23.72,0.044000000000000004,0.0,5462.166343,23.99,3.67,5.82
San Diego,6073010003.0,64.7,11.5,3.5,0.2,17.3,2.7,18.7,25.8,23.72,0.038,0.0,1311.403696,53.72,8.09,4.95
San Francisco,6075022903.0,50.6,30.6,1.8,0.2,13.7,3.1,5.0,27.9,23.7,0.03,0.0,215.00555409999998,51.5,6.22,3.29
San Francisco,6075020900.0,50.0,33.0,1.5,0.3,11.9,3.2,6.1,45.9,23.68,0.03,0.0,209.87002009999998,57.85,6.92,7.46
Monterey ,6053001500.0,37.7,50.7,1.4,0.4,7.2,2.6,10.7,29.9,23.67,0.033,19529.96,0.697721088,98.54,8.74,3.83
Monterey ,6053011101.0,86.7,10.4,0.4,0.2,0.8,1.4,6.6,63.7,23.66,0.04,259.49,0.005850259,32.14,7.56,5.6
San Diego,6073014200.0,42.9,35.4,10.4,0.3,7.5,3.5,13.9,38.3,23.65,0.042,0.0,187.1458501,55.66,6.17,5.49
Santa Clara,6085503506.0,67.8,3.5,2.2,0.0,25.0,1.5,11.8,48.2,23.65,0.038,0.0,205.4210298,38.46,7.2,3.45
Monterey ,6053014301.0,22.5,43.1,6.5,0.3,21.2,6.4,7.4,16.8,23.64,0.035,313.9,0.680927884,57.11,8.55,7.64
Riverside ,6065049600.0,23.9,53.6,4.9,0.2,13.4,4.1,7.4,24.9,23.64,0.057,0.0,143.0,25.06,9.35,2.67
San Luis Obispo,6079010016.0,31.5,63.2,1.5,1.0,0.8,2.0,8.4,42.1,23.64,0.04,12.41,5.420463466,41.5,6.51,3.18
Sonoma ,6097152702.0,23.5,66.7,1.5,1.3,3.9,3.1,6.5,29.4,23.63,0.03,245.44,33.39791913,41.58,6.81,3.64
Monterey ,6053000101.0,63.2,28.0,1.0,0.2,4.5,3.1,7.7,37.4,23.63,0.033,28377.33,1.800229509,66.02,8.3,2.27
Fresno ,6019005905.0,21.3,63.0,1.0,0.6,11.6,2.4,10.2,19.0,23.63,0.065,691.83,914.2766743999999,41.2,6.52,6.48
Orange ,6059088203.0,34.9,24.5,1.6,0.4,36.9,1.6,11.8,48.7,23.63,0.046,0.0,23778.30175,34.81,7.28,5.15
Orange ,6059086801.0,38.1,35.8,1.5,0.1,21.8,2.6,7.8,30.6,23.62,0.046,0.11,7006.480716,35.59,7.17,2.03
San Diego,6073002707.0,58.3,4.5,14.5,0.2,20.7,1.7,13.5,70.8,23.62,0.042,0.0,190.928703,51.48,6.19,5.54
Riverside ,6065044606.0,25.1,67.5,2.9,0.9,2.0,1.6,19.3,45.5,23.62,0.068,0.12,76.13198069,55.93,9.33,5.7
Glenn ,6021010100.0,42.3,51.7,0.7,1.0,2.6,1.7,14.3,52.4,23.61,0.048,48.32,12.77652495,42.01,8.6,3.63
Santa Clara,6085504507.0,20.1,17.4,2.8,0.3,55.7,3.7,12.5,22.9,23.61,0.035,0.0,171.33488480000003,25.78,7.73,4.35
San Bernardino,6071010411.0,17.8,73.8,3.2,0.8,2.1,2.3,23.5,51.2,23.61,0.065,0.0,1.612523655,57.07,13.44,4.89
Solano ,6095250300.0,23.8,31.1,19.1,0.6,20.3,5.1,15.0,49.7,23.61,0.035,0.0,1397.548487,93.65,9.72,6.64
Los Angeles,6037575001.0,23.6,41.5,11.2,0.5,18.1,5.0,8.5,23.7,23.59,0.042,0.01,8301.073068000003,34.18,6.02,4.53
Los Angeles,6037403901.0,47.1,39.7,2.7,0.2,8.1,2.2,11.3,32.3,23.59,0.057,0.0,4462.518268,49.5,7.32,2.37
San Francisco,6075022801.0,42.2,39.1,2.8,0.1,12.0,3.8,6.6,29.3,23.59,0.03,0.0,217.48533619999998,57.85,6.92,5.54
Orange ,6059011716.0,26.3,36.1,1.9,0.1,33.4,2.2,6.7,17.2,23.59,0.048,0.0,19472.32637,30.14,8.16,4.05
Santa Barbara,6083002211.0,43.7,47.3,1.0,0.5,5.8,1.7,6.0,28.6,23.58,0.035,49879.91,48.14665667,58.41,6.75,5.96
Orange ,6059062612.0,6.9,56.6,1.1,0.1,30.3,5.0,11.0,22.8,23.58,0.046,7.61,12829.22049,22.92,6.0,4.98
Orange ,6059001704.0,8.6,19.9,1.0,0.0,68.2,2.2,5.3,16.6,23.57,0.046,0.0,6791.372323999999,47.19,7.42,4.05
Contra Costa,6013303203.0,21.2,55.6,8.3,0.4,10.0,4.5,4.1,14.3,23.56,0.042,29.35,227.22476319999998,66.65,13.23,4.51
Los Angeles,6037503401.0,48.6,43.5,1.0,0.2,5.3,1.4,8.0,11.7,23.56,0.046,0.0,6126.714749,46.08,11.79,5.08
Sacramento ,6067005204.0,16.7,66.0,5.4,0.6,7.4,3.9,5.8,23.9,23.55,0.05,0.09,377.84763860000004,64.78,10.21,2.76
San Diego,6073010300.0,46.9,38.1,2.9,0.4,7.1,4.5,13.7,42.8,23.55,0.038,0.0,531.6785455,75.38,7.59,4.15
Alameda ,6001442700.0,16.8,53.3,1.6,0.2,22.5,5.6,3.0,9.6,23.54,0.035,49.25,156.7626618,46.73,8.24,6.57
Placer ,6061021003.0,16.1,72.6,1.7,0.8,5.7,3.1,10.0,29.5,23.54,0.053,0.0,36.66710319,49.85,9.37,3.17
Ventura ,6111005502.0,34.4,45.7,3.1,0.4,12.7,3.6,6.2,42.4,23.54,0.044000000000000004,11086.65,101.91396309999999,35.51,9.29,5.47
San Diego,6073009000.0,42.4,35.5,5.0,0.2,13.8,3.2,5.0,50.0,23.53,0.04,0.0,164.0245611,59.97,4.74,6.99
San Diego,6073013702.0,40.1,35.8,13.6,0.4,6.2,4.0,8.9,41.6,23.53,0.044000000000000004,0.14,135.3489715,71.01,7.2,6.44
Alameda ,6001420400.0,13.6,27.8,3.8,0.9,48.9,5.0,6.9,51.2,23.52,0.03,0.0,627.3947727999998,30.65,3.38,3.36
Sonoma ,6097153902.0,49.8,46.9,0.3,0.9,0.7,1.3,9.0,39.6,23.51,0.035,356.26,13.53197692,49.48,6.68,4.81
San Diego,6073014902.0,22.1,66.3,3.6,0.4,3.6,3.9,3.3,27.6,23.51,0.044000000000000004,0.0,119.101476,39.85,5.41,5.68
San Diego,6073012303.0,45.3,40.4,4.8,0.2,6.8,2.4,12.2,41.1,23.51,0.04,0.0,530.7784939,40.33,6.01,4.85
Orange ,6059001301.0,41.5,42.4,2.4,0.2,11.1,2.4,10.8,21.7,23.5,0.046,0.0,6687.515599,49.39,8.91,4.01
Alameda ,6001436100.0,40.1,28.0,5.3,0.4,22.4,3.7,12.1,19.9,23.5,0.033,0.0,412.9436726,66.58,8.49,2.97
Monterey ,6053000501.0,97.2,1.6,0.2,0.2,0.3,0.5,13.1,85.3,23.49,0.033,0.0,0.812407868,79.51,8.03,3.73
Los Angeles,6037571900.0,18.7,48.3,16.4,0.5,12.0,4.1,5.3,15.8,23.49,0.042,0.0,6926.346443,49.43,6.99,5.37
Alameda ,6001440336.0,23.9,18.0,8.0,0.2,45.0,4.9,11.2,26.2,23.49,0.035,0.0,179.2075952,70.98,9.67,6.21
Kern ,6029002804.0,15.8,76.9,2.5,0.4,2.3,2.1,4.8,27.2,23.48,0.065,0.0,53.07778069,82.51,11.06,3.51
Alameda ,6001432700.0,21.2,47.9,9.8,0.4,16.5,4.1,6.0,24.4,23.47,0.03,0.0,420.0040311000001,75.08,9.79,5.36
Butte ,6007001704.0,7.1,86.8,0.2,1.2,0.8,4.0,15.7,45.7,23.47,0.051,5.48,0.047002151,60.06,12.37,5.85
Yolo ,6113010302.0,21.0,50.5,4.8,0.4,17.9,5.5,6.9,15.1,23.46,0.046,9.94,147.0728354,61.05,9.9,4.16
San Diego,6073002708.0,53.6,8.0,14.8,0.1,21.0,2.5,11.6,78.4,23.45,0.042,0.0,186.10950569999997,42.49,5.03,5.39
Los Angeles,6037186202.0,44.9,16.0,2.0,0.1,35.3,1.8,2.8,27.6,23.44,0.05,0.0,2607.658911,51.95,6.09,5.23
Kern ,6029000907.0,66.4,27.2,3.7,1.3,0.6,0.9,12.7,49.6,23.44,0.062,0.0,12.20178409,75.27,9.32,3.83
Los Angeles,6037189300.0,5.9,76.0,2.3,0.0,13.0,2.7,8.2,12.9,23.42,0.05,0.0,2316.931814,30.08,7.41,5.79
Los Angeles,6037214901.0,5.1,78.8,2.9,0.1,7.9,5.3,8.4,32.9,23.42,0.048,0.0,1608.6484990000001,26.53,6.8,3.85
Sonoma ,6097152000.0,26.0,62.0,2.5,1.2,3.9,4.4,9.6,44.9,23.41,0.03,0.0,54.38217472,53.31,7.65,5.06
San Francisco,6075016802.0,13.0,58.8,11.1,0.7,11.8,4.5,6.0,20.6,23.4,0.03,0.0,220.0858213,90.79,6.36,6.06
Solano ,6095253205.0,35.8,49.0,5.7,0.5,4.6,4.3,12.6,41.9,23.4,0.042,0.21,407.24667789999995,76.48,9.47,4.71
Santa Clara,6085512311.0,37.0,46.7,2.1,0.3,10.3,3.7,5.8,18.9,23.4,0.04,803.36,32.30129074,40.1,9.19,3.3
Alameda ,6001410000.0,9.6,31.0,48.8,0.1,6.3,4.2,6.6,12.5,23.39,0.03,0.0,391.0780579,135.08,7.21,6.94
Contra Costa,6013336202.0,77.2,11.2,3.5,0.1,6.1,1.9,6.6,73.5,23.39,0.038,0.0,862.078552,65.88,5.5,4.57
Los Angeles,6037503502.0,60.5,31.3,1.0,0.2,5.4,1.6,5.2,29.8,23.38,0.046,0.0,5705.7197,57.41,12.52,5.0
Alameda ,6001442900.0,19.1,33.5,3.2,0.3,38.7,5.1,3.4,15.0,23.38,0.035,0.12,240.34101239999998,67.67,10.69,4.45
San Bernardino,6071010417.0,15.4,79.0,1.0,1.0,1.1,2.5,16.8,51.3,23.37,0.065,0.0,0.86130481,50.73,13.34,4.52
Monterey ,6053000102.0,65.8,12.0,2.0,0.2,18.3,1.8,6.3,36.2,23.37,0.033,12658.58,0.9640275779999999,78.46,9.59,5.31
Riverside ,6065044102.0,51.7,36.6,5.5,1.9,1.8,2.5,16.8,56.4,23.36,0.068,0.0,131.87212350000001,96.29,20.81,4.47
Los Angeles,6037128602.0,17.6,70.1,3.6,0.0,5.4,3.3,7.3,18.9,23.36,0.053,0.0,1045.2117150000001,51.78,12.75,2.55
Orange ,6059099413.0,16.3,62.6,0.8,0.2,16.8,3.3,4.1,25.5,23.35,0.044000000000000004,0.36,8401.765199,26.83,6.7,3.76
Los Angeles,6037109200.0,37.7,37.7,3.5,0.2,18.2,2.7,6.9,17.0,23.35,0.057,0.0,507.27353650000003,51.84,7.36,3.69
San Francisco,6075020200.0,25.2,49.5,6.0,0.5,15.9,2.9,9.8,29.8,23.34,0.03,0.0,216.6787935,71.14,6.84,7.08
Sutter ,6101050401.0,24.0,54.4,1.6,0.9,15.0,4.0,9.1,31.0,23.34,0.048,2.42,0.45440050200000004,40.59,12.26,2.54
Napa ,6055201003.0,18.2,22.6,8.8,0.3,45.8,4.2,6.2,20.6,23.34,0.035,29.89,1170.902206,25.75,4.59,6.59
Santa Clara,6085506301.0,23.5,41.1,5.2,0.2,25.7,4.3,5.0,19.8,23.34,0.035,0.0,175.555798,39.62,7.36,4.45
Los Angeles,6037461100.0,39.2,26.3,25.4,0.2,5.0,3.9,14.1,34.9,23.32,0.051,0.0,1946.231084,38.96,5.66,7.5
San Bernardino,6071009707.0,17.9,69.1,5.3,0.5,5.1,2.0,12.1,26.8,23.32,0.065,0.0,82.27329107,85.53,13.11,5.28
Alameda ,6001440335.0,8.5,11.5,4.7,0.1,69.3,5.9,8.3,9.9,23.31,0.035,0.25,209.09632280000002,67.41,9.24,6.27
Los Angeles,6037403721.0,52.9,31.7,3.0,0.2,10.2,2.0,6.8,22.4,23.31,0.055,0.0,5415.380601,40.98,6.77,6.63
Los Angeles,6037113237.0,16.1,56.8,5.2,0.2,17.8,3.9,11.4,19.7,23.31,0.057,0.0,357.03205230000015,46.82,8.46,3.77
Riverside ,6065045000.0,46.4,48.6,1.8,0.3,1.3,1.5,11.9,56.6,23.3,0.068,0.02,2.144271972,41.8,8.73,6.04
Los Angeles,6037570902.0,26.4,53.8,6.2,0.5,9.4,3.7,6.9,16.5,23.3,0.044000000000000004,0.06,5808.217996,41.17,9.9,5.84
Riverside ,6065046405.0,37.2,54.3,2.1,0.9,2.9,2.7,10.8,38.9,23.29,0.057,0.0,145.53750119999995,44.89,16.51,2.41
Orange ,6059099905.0,28.6,46.4,1.8,0.6,19.9,2.7,8.2,32.3,23.29,0.044000000000000004,0.0,14121.716380000002,38.28,8.73,2.64
Los Angeles,6037406101.0,51.2,36.4,2.5,0.5,7.1,2.3,5.8,26.7,23.29,0.055,0.0,5931.834045000001,52.41,7.4,4.86
Los Angeles,6037267404.0,11.0,63.6,2.6,0.0,18.5,4.3,7.0,32.2,23.27,0.046,1.91,1317.6947810000001,11.22,4.14,4.0
Santa Clara,6085504422.0,20.7,11.4,3.5,0.1,61.5,2.9,9.6,30.8,23.26,0.038,0.0,156.3688506,20.63,6.21,6.54
Amador ,6005000500.0,9.4,85.5,0.4,1.3,0.8,2.6,25.8,20.5,23.26,0.053,0.01,5.105704806,141.43,13.47,4.17
Kern ,6029000910.0,37.2,48.3,5.5,0.8,5.6,2.6,5.1,33.2,23.26,0.062,0.02,8.23869482,66.56,8.31,4.71
Riverside ,6065040703.0,27.5,66.2,0.8,1.0,1.5,3.1,14.6,19.1,23.26,0.062,0.24,4010.486835,31.5,9.5,3.39
Orange ,6059062626.0,9.6,34.5,1.8,0.0,49.5,4.6,11.7,65.8,23.25,0.046,0.0,13760.25733,19.34,5.07,6.45
San Diego,6073018100.0,20.7,70.4,1.8,0.6,3.2,3.2,9.6,32.3,23.25,0.042,0.0,42.82560974,49.31,8.23,4.01
San Diego,6073003204.0,51.5,31.0,2.8,0.5,11.9,2.3,11.0,27.3,23.24,0.04,0.0,443.3705107,43.61,6.63,7.23
Los Angeles,6037403408.0,19.7,7.8,4.0,0.1,66.1,2.2,6.7,12.3,23.24,0.053,0.0,12817.7002,24.75,7.28,5.45
San Francisco,6075031201.0,15.8,13.7,8.4,0.2,59.7,2.1,14.9,33.9,23.24,0.03,0.0,170.8774315,55.46,7.27,6.87
Ventura ,6111005403.0,53.2,37.8,1.1,0.4,5.2,2.3,3.8,37.5,23.22,0.046,15010.91,95.03341407,31.57,8.33,5.36
San Diego,6073010010.0,72.7,12.4,1.9,0.1,11.2,1.7,15.2,47.7,23.22,0.038,0.03,927.7573481000001,53.72,8.09,5.23
Los Angeles,6037408628.0,18.1,9.7,1.1,0.0,69.4,1.8,3.7,24.5,23.21,0.048,0.31,8470.617213,45.69,9.71,3.95
Los Angeles,6037403802.0,45.3,36.2,4.1,0.4,11.6,2.5,12.0,25.6,23.21,0.06,0.0,4739.662321,43.93,7.52,4.39
Orange ,6059063903.0,36.4,43.1,1.1,0.1,16.5,2.8,9.8,32.7,23.21,0.044000000000000004,0.57,9488.087204000001,36.22,6.33,3.23
San Francisco,6075026100.0,26.5,10.9,1.4,0.1,58.8,2.2,6.8,26.1,23.19,0.03,0.0,182.6478407,55.46,7.27,7.01
San Diego,6073008509.0,19.1,55.2,7.5,0.5,12.6,5.1,10.4,29.7,23.17,0.042,0.0,143.6179658,58.91,4.68,5.65
Santa Clara,6085505001.0,15.4,22.4,2.8,0.1,55.5,3.8,8.6,22.3,23.15,0.035,0.0,428.02659460000007,22.98,6.95,5.6
Solano ,6095250103.0,17.3,26.9,20.1,0.5,30.2,5.0,25.2,30.1,23.15,0.035,0.0,1464.409725,93.65,9.72,7.23
Orange ,6059042310.0,35.6,59.0,0.4,0.5,2.2,2.3,8.6,36.8,23.15,0.048,0.0,1413.432167,24.56,5.72,4.65
Los Angeles,6037462202.0,11.1,46.1,6.2,0.1,32.4,4.0,7.2,42.7,23.15,0.053,0.0,2938.409746000001,29.21,5.63,2.23
Orange ,6059001705.0,39.9,35.2,2.1,0.2,19.5,3.0,9.9,32.9,23.15,0.046,0.0,8111.814799,25.71,5.47,4.41
Los Angeles,6037276000.0,17.5,63.6,3.5,0.1,10.7,4.5,4.5,5.6,23.15,0.046,0.0,2311.423236,39.1,8.64,5.21
San Mateo,6081611700.0,68.6,3.6,17.9,0.0,8.2,1.7,5.9,38.4,23.14,0.033,0.0,221.03496940000002,26.23,4.39,4.37
San Diego,6073018601.0,27.9,53.0,2.7,0.4,11.4,4.6,10.2,24.5,23.14,0.042,0.0,50.45374426,39.7,7.36,5.72
Solano ,6095253404.0,39.4,48.8,3.8,0.4,3.9,3.6,10.4,29.6,23.14,0.042,122.36,64.44240903,54.31,8.79,3.04
San Diego,6073002903.0,36.5,40.3,9.1,0.3,10.4,3.4,8.6,37.8,23.14,0.042,0.0,163.60326980000005,48.49,5.7,5.83
Los Angeles,6037462301.0,52.0,22.6,12.1,0.2,10.2,3.0,9.5,46.1,23.14,0.053,0.0,2844.114101,20.91,4.01,4.02
Santa Clara,6085506501.0,52.0,24.9,5.8,0.2,14.7,2.6,13.2,54.1,23.13,0.038,0.0,138.23483000000002,31.05,5.81,5.12
Los Angeles,6037702901.0,7.7,74.7,5.1,0.2,8.4,3.8,6.2,18.0,23.12,0.046,0.0,1833.260841,30.32,6.44,4.18
Contra Costa,6013307204.0,40.0,40.2,9.0,0.6,6.6,3.6,6.8,36.0,23.11,0.04,0.0,453.53984580000014,178.9,13.85,6.12
Ventura ,6111004000.0,85.2,7.9,1.4,0.2,4.5,0.7,13.5,57.8,23.11,0.044000000000000004,1.82,770.0705107000001,33.16,6.34,4.57
Los Angeles,6037403702.0,40.1,41.9,3.3,0.2,11.8,2.7,12.0,20.5,23.08,0.057,0.0,5474.228638000001,55.58,9.3,4.6
Riverside ,6065043010.0,46.3,43.7,4.1,0.3,3.0,2.6,12.9,22.8,23.08,0.057,0.0,1610.360993,45.1,14.31,4.01
San Joaquin,6077004701.0,30.4,64.7,0.3,0.4,1.3,2.8,13.3,49.1,23.08,0.048,39.95,126.9670222,22.31,8.38,6.12
Orange ,6059021915.0,14.2,61.0,1.2,0.1,20.1,3.5,5.7,8.5,23.07,0.05,0.08,19387.29829,25.69,6.8,6.47
Los Angeles,6037554519.0,9.0,17.9,4.2,0.1,66.4,2.4,5.8,19.9,23.07,0.044000000000000004,0.0,5843.992305,34.19,7.29,6.47
Tulare ,6107000100.0,23.3,71.9,0.4,1.1,1.4,2.0,10.6,32.4,23.06,0.068,15.62,11.58595635,31.92,5.59,5.67
Placer ,6061020806.0,19.2,74.5,1.1,0.7,1.7,2.8,4.3,32.0,23.05,0.053,0.0,34.80151084,45.9,8.66,4.26
Sonoma ,6097152801.0,21.0,66.3,1.6,1.0,5.8,4.3,4.8,30.4,23.05,0.03,367.09,42.90496945,51.96,8.39,3.06
Sacramento ,6067007701.0,14.7,68.2,6.6,0.8,5.8,4.0,7.7,42.8,23.04,0.051,0.0,89.07048496,106.76,8.05,5.36
Riverside ,6065042717.0,49.5,43.6,2.5,0.5,1.7,2.4,16.5,46.0,23.04,0.06,0.0,239.76186119999997,36.99,12.45,4.46
San Francisco,6075015801.0,11.1,38.0,28.2,0.3,18.2,4.1,12.8,41.6,23.04,0.03,0.0,218.2049708,58.87,6.13,11.11
San Diego,6073003108.0,55.1,23.2,8.1,0.3,9.4,3.9,14.1,43.7,23.03,0.042,0.0,205.51872759999998,67.08,6.7,2.87
Riverside ,6065041807.0,48.6,43.8,2.0,0.2,3.2,2.1,5.7,28.4,23.03,0.06,0.0,5237.442333,30.02,9.45,5.23
Ventura ,6111000400.0,76.2,22.3,0.1,0.3,0.4,0.7,11.6,39.0,23.02,0.05,28.34,20.73866376,42.33,8.4,4.82
Riverside ,6065043239.0,19.7,74.0,1.0,0.6,2.4,2.2,9.8,29.1,23.02,0.06,39.66,79.2772981,26.25,8.73,7.03
San Diego,6073014500.0,31.0,43.9,11.8,0.7,8.9,3.6,14.4,36.2,23.0,0.042,0.0,154.2994344,25.99,3.64,6.78
Contra Costa,6013304001.0,17.1,55.3,6.8,0.1,15.4,5.3,7.0,17.9,22.99,0.042,87.55,275.79517180000005,66.21,13.13,2.71
Monterey ,6053000300.0,66.1,21.3,1.9,0.2,7.6,2.9,11.9,40.1,22.99,0.033,0.67,0.911387343,68.04,8.37,5.93
Orange ,6059088904.0,9.0,10.8,0.3,0.1,77.9,1.9,8.7,45.7,22.99,0.046,0.0,18338.80505,26.35,6.0,2.83
Los Angeles,6037408625.0,33.8,20.5,0.8,0.0,43.4,1.5,6.8,10.2,22.98,0.048,0.05,8290.647726000001,46.47,9.87,4.85
Orange ,6059110110.0,32.1,33.9,4.0,0.2,26.6,3.2,5.4,27.5,22.97,0.044000000000000004,0.0,6563.14355,30.96,8.17,5.73
San Diego,6073020309.0,42.6,40.1,1.4,0.8,11.6,3.5,6.1,42.9,22.97,0.048,0.0,32.18238542,23.67,6.04,4.43
Solano ,6095253108.0,25.0,53.3,7.8,0.8,7.5,5.6,12.2,24.6,22.96,0.04,0.0,486.4538352,66.5,8.76,5.34
Los Angeles,6037462700.0,35.7,35.9,6.4,0.4,18.4,3.2,6.4,28.7,22.96,0.053,0.0,2960.424923,23.86,4.98,5.92
Ventura ,6111005004.0,58.6,25.0,3.0,0.2,10.3,3.0,7.1,31.1,22.96,0.044000000000000004,15664.21,522.2028976,38.26,6.82,4.04
Sonoma ,6097153006.0,29.0,60.7,1.6,0.7,4.8,3.2,8.4,38.6,22.95,0.03,0.8,46.96390249,54.81,8.18,3.9
Ventura ,6111007612.0,39.1,50.6,1.9,0.1,5.4,2.9,9.3,29.5,22.95,0.05,1046.59,43.9733708,32.63,7.78,5.47
Los Angeles,6037300800.0,12.3,67.3,1.1,0.1,15.8,3.4,7.1,25.5,22.93,0.051,0.0,1592.105985,16.62,6.33,4.2
Riverside ,6065043271.0,41.5,51.4,1.9,0.6,2.0,2.6,16.8,30.1,22.92,0.057,0.0,141.6799933,43.65,16.03,8.85
Butte ,6007002200.0,7.3,87.9,0.4,0.6,1.3,2.6,8.5,37.1,22.92,0.053,2.17,1.410402469,46.89,10.09,4.18
Monterey ,6053000701.0,95.3,2.5,0.6,0.3,0.7,0.7,11.6,86.1,22.91,0.033,2.42,0.7817136179999999,79.51,8.03,5.12
Los Angeles,6037216800.0,18.2,63.6,8.8,0.1,6.0,3.4,9.8,23.1,22.91,0.048,0.0,1816.4047850000002,23.46,5.1,7.12
Santa Clara,6085512043.0,63.4,10.5,5.3,0.1,19.1,1.6,10.9,55.6,22.91,0.038,0.0,77.21076661,29.44,5.22,4.77
San Bernardino,6071011101.0,14.1,78.8,1.0,0.4,1.8,4.0,8.5,29.5,22.91,0.068,0.0,444.95156610000004,49.27,6.94,7.57
Riverside ,6065043314.0,33.4,59.2,2.4,1.3,1.4,2.3,14.0,40.1,22.91,0.062,0.0,2676.6148550000007,59.1,13.86,4.81
Los Angeles,6037141101.0,12.1,71.1,4.8,0.3,7.6,4.2,5.9,24.8,22.9,0.053,0.0,1114.440554,27.83,9.1,3.65
Calaveras ,6009000210.0,13.3,79.5,1.1,0.9,1.8,3.5,12.8,25.3,22.9,0.053,3.8,63.98478118,54.41,9.19,4.38
San Diego,6073008507.0,26.9,50.0,3.9,0.2,15.0,4.0,6.4,36.5,22.9,0.044000000000000004,0.0,136.8772643,40.04,5.62,4.95
San Diego,6073020017.0,47.7,38.6,3.0,0.7,6.7,3.1,8.9,51.4,22.89,0.044000000000000004,9.1,371.24185760000006,17.45,3.54,4.35
Orange ,6059001504.0,39.8,41.4,1.7,0.2,14.3,2.6,4.4,19.2,22.89,0.048,0.0,12417.07085,34.19,7.7,3.23
Alameda ,6001443001.0,35.1,28.3,3.0,0.2,30.7,2.6,4.6,14.2,22.88,0.035,0.0,165.5617427,61.08,9.76,6.23
San Bernardino,6071010018.0,49.4,36.4,6.8,0.6,4.7,2.0,16.9,45.8,22.88,0.065,0.0,223.77005780000002,45.41,8.89,6.13
Los Angeles,6037501700.0,57.5,37.0,0.6,0.3,3.2,1.3,8.8,24.1,22.88,0.046,0.0,6690.340203,52.27,9.74,4.87
Kern ,6029000906.0,69.2,23.1,4.0,1.2,1.2,1.2,8.6,35.1,22.88,0.062,0.0,15.15651214,75.27,9.32,5.43
Los Angeles,6037650401.0,14.6,46.3,1.0,0.3,32.7,5.0,7.1,15.8,22.86,0.042,0.0,33202.05738,27.69,6.12,6.21
Santa Clara,6085503507.0,78.0,1.6,2.8,0.3,16.1,1.1,6.2,44.6,22.86,0.038,0.0,202.1186999,56.72,10.84,4.44
Alameda ,6001435900.0,28.4,36.7,4.4,0.2,27.3,3.1,10.2,20.6,22.85,0.033,0.0,441.83908360000004,71.66,10.59,4.24
